<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,60,20170103,110000,794.9000000,799.8000000,794.9000000,798.6000000,46060
NVTK,60,20170103,120000,798.5000000,798.7000000,784.1000000,790.5000000,183250
NVTK,60,20170103,130000,789.8000000,792.0000000,786.5000000,790.7000000,186420
NVTK,60,20170103,140000,790.7000000,791.2000000,786.5000000,788.7000000,118990
NVTK,60,20170103,150000,788.6000000,789.5000000,786.3000000,787.3000000,109990
NVTK,60,20170103,160000,787.4000000,788.5000000,786.0000000,786.6000000,131230
NVTK,60,20170103,170000,786.2000000,786.7000000,784.4000000,785.8000000,38900
NVTK,60,20170103,180000,785.8000000,787.2000000,784.0000000,784.5000000,137070
NVTK,60,20170103,190000,784.3000000,787.6000000,783.0000000,783.0000000,65540
NVTK,60,20170104,110000,779.9000000,782.5000000,778.5000000,780.0000000,70170
NVTK,60,20170104,120000,779.6000000,786.1000000,779.4000000,781.8000000,115990
NVTK,60,20170104,130000,781.9000000,783.8000000,779.9000000,783.4000000,21200
NVTK,60,20170104,140000,783.5000000,784.6000000,777.6000000,778.2000000,71240
NVTK,60,20170104,150000,778.5000000,780.0000000,775.9000000,778.0000000,23820
NVTK,60,20170104,160000,778.4000000,780.4000000,776.5000000,776.5000000,22130
NVTK,60,20170104,170000,776.6000000,778.9000000,775.2000000,775.2000000,46970
NVTK,60,20170104,180000,775.2000000,778.2000000,772.0000000,776.1000000,83900
NVTK,60,20170104,190000,776.2000000,777.5000000,770.0000000,775.0000000,50060
NVTK,60,20170105,110000,776.2000000,777.8000000,769.5000000,771.9000000,60930
NVTK,60,20170105,120000,771.9000000,773.8000000,766.1000000,770.7000000,139790
NVTK,60,20170105,130000,770.2000000,771.9000000,761.2000000,762.4000000,118150
NVTK,60,20170105,140000,762.4000000,764.1000000,760.5000000,760.9000000,70500
NVTK,60,20170105,150000,761.3000000,762.5000000,754.5000000,757.1000000,116610
NVTK,60,20170105,160000,757.1000000,757.1000000,752.4000000,753.6000000,64770
NVTK,60,20170105,170000,752.9000000,756.7000000,751.0000000,753.5000000,61310
NVTK,60,20170105,180000,753.3000000,755.3000000,750.0000000,752.0000000,80090
NVTK,60,20170105,190000,752.1000000,756.5000000,748.4000000,756.4000000,112130
NVTK,60,20170106,110000,755.0000000,764.9000000,753.2000000,761.6000000,84770
NVTK,60,20170106,120000,761.7000000,762.4000000,753.6000000,756.2000000,91300
NVTK,60,20170106,130000,754.6000000,757.8000000,751.6000000,754.3000000,26950
NVTK,60,20170106,140000,754.3000000,754.3000000,745.9000000,751.0000000,156040
NVTK,60,20170106,150000,751.7000000,751.9000000,748.0000000,751.6000000,59940
NVTK,60,20170106,160000,751.4000000,756.3000000,750.0000000,755.3000000,62160
NVTK,60,20170106,170000,754.6000000,758.8000000,752.7000000,757.5000000,55330
NVTK,60,20170106,180000,758.0000000,760.0000000,757.2000000,758.2000000,28280
NVTK,60,20170106,190000,759.0000000,759.7000000,754.9000000,754.9000000,30750
NVTK,60,20170109,110000,758.9000000,761.8000000,756.9000000,758.4000000,39980
NVTK,60,20170109,120000,758.7000000,761.6000000,757.6000000,759.6000000,39520
NVTK,60,20170109,130000,759.5000000,760.6000000,747.6000000,748.3000000,142400
NVTK,60,20170109,140000,749.2000000,753.7000000,748.3000000,752.2000000,39770
NVTK,60,20170109,150000,752.5000000,752.5000000,749.3000000,749.5000000,26690
NVTK,60,20170109,160000,749.5000000,753.7000000,749.0000000,753.0000000,29360
NVTK,60,20170109,170000,752.6000000,753.5000000,749.0000000,750.8000000,23470
NVTK,60,20170109,180000,750.1000000,751.9000000,748.3000000,749.8000000,32570
NVTK,60,20170109,190000,749.8000000,757.8000000,749.7000000,755.4000000,65270
NVTK,60,20170110,110000,755.4000000,762.3000000,754.6000000,760.9000000,69710
NVTK,60,20170110,120000,761.0000000,767.0000000,760.6000000,763.4000000,158220
NVTK,60,20170110,130000,762.9000000,767.5000000,760.7000000,767.2000000,159290
NVTK,60,20170110,140000,766.6000000,767.8000000,764.3000000,767.6000000,49450
NVTK,60,20170110,150000,767.2000000,768.0000000,763.4000000,763.6000000,31600
NVTK,60,20170110,160000,763.7000000,769.0000000,760.3000000,768.3000000,104750
NVTK,60,20170110,170000,768.9000000,773.0000000,765.0000000,766.2000000,211180
NVTK,60,20170110,180000,766.4000000,767.3000000,761.1000000,761.3000000,106060
NVTK,60,20170110,190000,761.3000000,767.1000000,761.0000000,766.7000000,74020
NVTK,60,20170111,110000,766.3000000,770.5000000,765.8000000,765.9000000,76110
NVTK,60,20170111,120000,766.3000000,767.0000000,761.2000000,763.5000000,92880
NVTK,60,20170111,130000,764.0000000,766.5000000,762.9000000,766.3000000,43730
